column,group,in_DV_1,in_DV_2,type_DV_1,type_DV_2,source_DV_1,source_DV_2,expr_DV_1,expr_DV_2
AC_FREQUENCY,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AC_FREQUENCY,
ALLOC_COND_FACTOR,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.cond_vol_factor,
ALLOC_COND_MASS,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.alloc_cond_mass,
ALLOC_COND_VOL,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.alloc_cond_vol,
ALLOC_GAS_ENERGY,ONLY DV_1,Y,,NUMBER,,BASE,,pwelDayAlloc.alloc_gas_energy,
ALLOC_GAS_FACTOR,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.gas_vol_factor,
ALLOC_GAS_MASS,SHARED,Y,Y,NUMBER,NUMBER,OTHER,OTHER,pwelDayAlloc.alloc_gas_mass,pwelDayAlloc.alloc_gas_mass
ALLOC_GAS_VOL,SHARED,Y,Y,NUMBER,NUMBER,OTHER,OTHER,pwelDayAlloc.alloc_gas_vol,pwelDayAlloc.alloc_gas_vol
ALLOC_GL_VOL,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.alloc_gl_vol,
ALLOC_OIL_FACTOR,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.net_oil_vol_factor,
ALLOC_OIL_VOL,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.alloc_net_oil_vol,
ALLOC_WATER_FACTOR,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.water_vol_factor,
ALLOC_WATER_VOL,ONLY DV_1,Y,,NUMBER,,OTHER,,pwelDayAlloc.alloc_water_vol,
ANNULUS_PRESS,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.ANNULUS_PRESS,
ANNULUS_PRESS_2,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.ANNULUS_PRESS_2,
APPROVAL_BY,SHARED,Y,Y,VARCHAR2(256),VARCHAR2(256),BASE,BASE,PWEL_DAY_STATUS.APPROVAL_BY,PWEL_DAY_STATUS.APPROVAL_BY
APPROVAL_DATE,SHARED,Y,Y,DATE,DATE,BASE,BASE,PWEL_DAY_STATUS.APPROVAL_DATE,PWEL_DAY_STATUS.APPROVAL_DATE
APPROVAL_STATE,SHARED,Y,Y,VARCHAR2(1),VARCHAR2(1),BASE,BASE,PWEL_DAY_STATUS.APPROVAL_STATE,PWEL_DAY_STATUS.APPROVAL_STATE
AVG_BH_PRESS,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_BH_PRESS,PWEL_DAY_STATUS.AVG_BH_PRESS
AVG_BH_PRESS_2,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_BH_PRESS_2,
AVG_BH_TEMP,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_BH_TEMP,PWEL_DAY_STATUS.AVG_BH_TEMP
AVG_BH_TEMP_2,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_BH_TEMP_2,
AVG_CHOKE_SIZE,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_CHOKE_SIZE,PWEL_DAY_STATUS.AVG_CHOKE_SIZE
AVG_COND_MASS,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_COND_MASS,
AVG_DH_PUMP_POWER,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_DH_PUMP_POWER,
AVG_DH_PUMP_SPEED,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_DH_PUMP_SPEED,
AVG_FLOW_MASS,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_FLOW_MASS,
AVG_FLOW_RATE,ONLY DV_2,,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_FLOW_RATE
AVG_GAS_ENERGY,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_GAS_ENERGY,
AVG_GAS_GCV,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_GAS_GCV,
AVG_GAS_MASS,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_GAS_MASS,PWEL_DAY_STATUS.AVG_GAS_MASS
AVG_GAS_RATE,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_GAS_RATE,PWEL_DAY_STATUS.AVG_GAS_RATE
AVG_GL_CHOKE_SIZE,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_GL_CHOKE,
AVG_GL_MF_PRESS,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_GL_MF_PRESS,PWEL_DAY_STATUS.AVG_GL_MF_PRESS
