#,VALIDATION_STATUS,DATA_CLASS,ATTRIBUTE,OBJECT_NAME,OBJECT_CODE,COMPONENT,TAG_ID,FROM_UNIT,TO_UNIT,LAST_TRANSFER,CHECK_RULE_ID,CLASS_VALIDATION_NAME
1,NEITHER,STRM_ANALYSIS,DENSITY,HP Fuel Gas to 1KT1410,FUEL_GAS_HP_TO_1KT1410,STRM_GAS_COMP,PGP.114FT058_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
2,NEITHER,STRM_ANALYSIS,DENSITY,HP Fuel Gas to 1KT1430,FUEL_GAS_HP_TO_1KT1430,STRM_GAS_COMP,PGP.114FT059_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
3,NEITHER,STRM_ANALYSIS,DENSITY,MP Fuel Gas to GT4001,FUEL_GAS_MP_TO_GT4001,STRM_GAS_COMP,PGP.401FE001_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
4,NEITHER,STRM_ANALYSIS,DENSITY,MP Fuel Gas to GT4002,FUEL_GAS_MP_TO_GT4002,STRM_GAS_COMP,PGP.402FE001_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
5,NEITHER,STRM_ANALYSIS,DENSITY,MP Fuel Gas to GT4003,FUEL_GAS_MP_TO_GT4003,STRM_GAS_COMP,PGP.403FE001_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
6,NEITHER,STRM_ANALYSIS,DENSITY,MP Fuel Gas to GT4004,FUEL_GAS_MP_TO_GT4004,STRM_GAS_COMP,PGP.404FE001_FWA.PREV_DAY_SDENS.PV,,,26-MAY-2026,NONE,NONE
7,NEITHER,STRM_ANALYSIS,GCV,Flare Pilot (Site A),FLARE_PILOT_A,STRM_GAS_COMP,PGP.44QI210A.PV,MJPERSM3,GJPERSM3,26-MAY-2026,NONE,NONE
8,NEITHER,STRM_ANALYSIS,GCV,Flare Pilot (Site B),FLARE_PILOT_B,STRM_GAS_COMP,PGP.44QI210A.PV-COPY-1,MJPERSM3,GJPERSM3,26-MAY-2026,NONE,NONE
9,NEITHER,STRM_ANALYSIS,GCV,Fuel Gas to Train 1 RTO Pilots,FUEL_TO_T1_RTO_PILOT,STRM_GAS_COMP,PGP.44QI210A.PV-COPY-2,MJPERSM3,GJPERSM3,26-MAY-2026,NONE,NONE
10,NEITHER,STRM_ANALYSIS,GCV,HP Fuel Gas to 1KT1410,FUEL_GAS_HP_TO_1KT1410,STRM_GAS_COMP,PGP.114FT058_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
11,NEITHER,STRM_ANALYSIS,GCV,HP Fuel Gas to 1KT1430,FUEL_GAS_HP_TO_1KT1430,STRM_GAS_COMP,PGP.114FT059_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
12,NEITHER,STRM_ANALYSIS,GCV,MP Fuel Gas to GT4001,FUEL_GAS_MP_TO_GT4001,STRM_GAS_COMP,PGP.401FE001_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
13,NEITHER,STRM_ANALYSIS,GCV,MP Fuel Gas to GT4002,FUEL_GAS_MP_TO_GT4002,STRM_GAS_COMP,PGP.402FE001_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
14,NEITHER,STRM_ANALYSIS,GCV,MP Fuel Gas to GT4003,FUEL_GAS_MP_TO_GT4003,STRM_GAS_COMP,PGP.403FE001_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
15,NEITHER,STRM_ANALYSIS,GCV,MP Fuel Gas to GT4004,FUEL_GAS_MP_TO_GT4004,STRM_GAS_COMP,PGP.404FE001_FWA.PREV_DAY_CV.PV,,,26-MAY-2026,NONE,NONE
16,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,C1,PGP.114QI201_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
17,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,C2,PGP.114QI202_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
18,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,C3,PGP.114QI203_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
19,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,IC4,PGP.114QI204_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
20,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,N2,PGP.114QI207_FWA.DACA.PV,,,31-DEC-2025,NONE,NONE
21,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,NC4,PGP.114QI205_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
22,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,1C1401 to E1405A/B,1C1401_TO_E1405AB,NC5,PGP.114QI206_FWA.DACA.PV,,,26-MAY-2026,NONE,NONE
23,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,C1,PGP.44QI210E.PV,,,26-MAY-2026,NONE,NONE
24,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,C2,PGP.44QI210F.PV,,,26-MAY-2026,NONE,NONE
25,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,C3,PGP.44QI210G.PV,,,26-MAY-2026,NONE,NONE
26,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,C6+,PGP.44QI210M.PV,,,26-MAY-2026,NONE,NONE
27,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,CO2,PGP.44QI210C.PV,,,26-MAY-2026,NONE,NONE
28,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,IC4,PGP.44QI210H.PV,,,26-MAY-2026,NONE,NONE
29,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,IC5,PGP.44QI210J.PV,,,26-MAY-2026,NONE,NONE
30,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,N2,PGP.44QI210D.PV,,,26-MAY-2026,NONE,NONE
31,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,NC4,PGP.44QI210I.PV,,,26-MAY-2026,NONE,NONE
32,NEITHER,STRM_COMP_ANALYSIS,MOL_PCT,DBNGP Pipeline Export Gas,DBNGP_PG_EXPORT_GAS,NC5,PGP.44QI210K.PV,,,26-MAY-2026,NONE,NONE
